sugarRegion,price,unit,ym,marketingYear,marketingYearMonth,weight,contractType
Region 2,559.9668,Tonne,2022/09,2021/2022,Sep,23824.72,Short term contracts
Region 3,914.8637,Tonne,2022/09,2021/2022,Sep,7413.48,Short term contracts
Region 3,668.7127,Tonne,2022/09,2021/2022,Sep,108306.79,Monthly data
EU Average,484.414,Tonne,2022/08,2021/2022,Aug,842717.81,Monthly data
EU Average,694.1847,Tonne,2022/08,2021/2022,Aug,32648.76,Short term contracts
Region 1,822.1782,Tonne,2022/08,2021/2022,Aug,5088.29,Short term contracts
Region 1,466.7954,Tonne,2022/08,2021/2022,Aug,181719.44,Monthly data
Region 2,462.4485,Tonne,2022/08,2021/2022,Aug,550858.61,Monthly data
Region 2,611.432,Tonne,2022/08,2021/2022,Aug,20255.66,Short term contracts
Region 3,623.342,Tonne,2022/08,2021/2022,Aug,110139.77,Monthly data
Region 3,834.4954,Tonne,2022/08,2021/2022,Aug,7304.81,Short term contracts
EU Average,472.5888,Tonne,2022/07,2021/2022,Jul,781025.39,Monthly data
EU Average,596.3689,Tonne,2022/07,2021/2022,Jul,21005.6,Short term contracts
Region 1,445.1062,Tonne,2022/07,2021/2022,Jul,152362.19,Monthly data
Region 2,505.1002,Tonne,2022/07,2021/2022,Jul,13981.53,Short term contracts
Region 2,457.4885,Tonne,2022/07,2021/2022,Jul,520504.24,Monthly data
Region 3,583.9721,Tonne,2022/07,2021/2022,Jul,108158.97,Monthly data
Region 3,797.5384,Tonne,2022/07,2021/2022,Jul,4057.59,Short term contracts
EU Average,453.4149,Tonne,2022/06,2021/2022,Jun,906456.24,Monthly data
EU Average,544.3602,Tonne,2022/06,2021/2022,Jun,26175.76,Short term contracts
Region 1,445.9266,Tonne,2022/06,2021/2022,Jun,177680.22,Monthly data
Region 2,438.243,Tonne,2022/06,2021/2022,Jun,628135.84,Monthly data
Region 2,480.0533,Tonne,2022/06,2021/2022,Jun,18910.74,Short term contracts
Region 3,561.3293,Tonne,2022/06,2021/2022,Jun,100640.18,Monthly data
Region 3,703.4123,Tonne,2022/06,2021/2022,Jun,4750.16,Short term contracts
EU Average,451.473,Tonne,2022/05,2021/2022,May,841849.1,Monthly data
EU Average,547.8681,Tonne,2022/05,2021/2022,May,29075.48,Short term contracts
Region 1,440.709,Tonne,2022/05,2021/2022,May,175312.03,Monthly data
Region 2,437.9665,Tonne,2022/05,2021/2022,May,567173.06,Monthly data
Region 2,491.9354,Tonne,2022/05,2021/2022,May,18893.8,Short term contracts
Region 3,547.5603,Tonne,2022/05,2021/2022,May,99364.01,Monthly data
Region 3,656.677,Tonne,2022/05,2021/2022,May,6769.8,Short term contracts
EU Average,528.8491,Tonne,2022/04,2021/2022,Apr,25410.17,Short term contracts
EU Average,445.9537,Tonne,2022/04,2021/2022,Apr,721428.13,Monthly data
Region 1,440.0461,Tonne,2022/04,2021/2022,Apr,153109.9,Monthly data
Region 1,609.4186,Tonne,2022/04,2021/2022,Apr,4171.6,Short term contracts
Region 2,465.9941,Tonne,2022/04,2021/2022,Apr,13948.31,Short term contracts
Region 2,435.6899,Tonne,2022/04,2021/2022,Apr,493474.88,Monthly data
Region 3,603.0052,Tonne,2022/04,2021/2022,Apr,7290.26,Short term contracts
Region 3,525.7129,Tonne,2022/04,2021/2022,Apr,74843.35,Monthly data
EU Average,511.3381,Tonne,2022/03,2021/2022,Mar,25767.01,Short term contracts
EU Average,442.7923,Tonne,2022/03,2021/2022,Mar,829522.55,Monthly data
Region 1,428.1944,Tonne,2022/03,2021/2022,Mar,178172.04,Monthly data
Region 1,545.2518,Tonne,2022/03,2021/2022,Mar,4138.76,Short term contracts
Region 2,436.0083,Tonne,2022/03,2021/2022,Mar,569247.43,Monthly data
Region 2,472.069,Tonne,2022/03,2021/2022,Mar,14167.75,Short term contracts
Region 3,521.507,Tonne,2022/03,2021/2022,Mar,82103.07,Monthly data
Region 3,567.0976,Tonne,2022/03,2021/2022,Mar,7460.5,Short term contracts
EU Average,493.0062,Tonne,2022/02,2021/2022,Feb,24457.88,Short term contracts
EU Average,440.1597,Tonne,2022/02,2021/2022,Feb,728153.29,Monthly data
Region 1,432.9671,Tonne,2022/02,2021/2022,Feb,139025.06,Monthly data
Region 2,457.6547,Tonne,2022/02,2021/2022,Feb,14519.1,Short term contracts
Region 2,429.3586,Tonne,2022/02,2021/2022,Feb,512978.81,Monthly data
Region 3,526.0528,Tonne,2022/02,2021/2022,Feb,76149.42,Monthly data
Region 3,550.9866,Tonne,2022/02,2021/2022,Feb,7654.96,Short term contracts
EU Average,432.6411,Tonne,2022/01,2021/2022,Jan,756931.15,Monthly data
EU Average,496.5244,Tonne,2022/01,2021/2022,Jan,31038.71,Short term contracts
Region 1,425.234,Tonne,2022/01,2021/2022,Jan,153386.47,Monthly data
Region 2,456.4607,Tonne,2022/01,2021/2022,Jan,14787.88,Short term contracts
Region 2,422.7572,Tonne,2022/01,2021/2022,Jan,524340.18,Monthly data
Region 3,512.4181,Tonne,2022/01,2021/2022,Jan,79204.5,Monthly data
Region 3,539.3503,Tonne,2022/01,2021/2022,Jan,13208.74,Short term contracts
EU Average,456.0762,Tonne,2021/12,2021/2022,Dec,40776.79,Short term contracts
EU Average,420.7764,Tonne,2021/12,2021/2022,Dec,719458.26,Monthly data
Region 1,408.4176,Tonne,2021/12,2021/2022,Dec,151527.94,Monthly data
Region 1,451.9603,Tonne,2021/12,2021/2022,Dec,7285.13,Short term contracts
Region 2,420.2732,Tonne,2021/12,2021/2022,Dec,21969.22,Short term contracts
Region 2,411.1934,Tonne,2021/12,2021/2022,Dec,495595.74,Monthly data
Region 3,526.9422,Tonne,2021/12,2021/2022,Dec,11522.44,Short term contracts
Region 3,512.3227,Tonne,2021/12,2021/2022,Dec,72334.59,Monthly data
EU Average,458.0422,Tonne,2021/11,2021/2022,Nov,38582.21,Short term contracts
EU Average,413.8389,Tonne,2021/11,2021/2022,Nov,826032.04,Monthly data
Region 1,428.1522,Tonne,2021/11,2021/2022,Nov,5504.99,Short term contracts
Region 1,405.7416,Tonne,2021/11,2021/2022,Nov,167505.4,Monthly data
Region 2,404.8176,Tonne,2021/11,2021/2022,Nov,578380.46,Monthly data
Region 2,427.5721,Tonne,2021/11,2021/2022,Nov,19611.2,Short term contracts
Region 3,514.6364,Tonne,2021/11,2021/2022,Nov,13466.02,Short term contracts
Region 3,495.8649,Tonne,2021/11,2021/2022,Nov,80146.18,Monthly data
EU Average,416.3657,Tonne,2021/10,2021/2022,Oct,791711.03,Monthly data
EU Average,457.1587,Tonne,2021/10,2021/2022,Oct,34357.37,Short term contracts
Region 1,416.316,Tonne,2021/10,2021/2022,Oct,3392.28,Short term contracts
Region 1,400.9746,Tonne,2021/10,2021/2022,Oct,157761.64,Monthly data
Region 2,410.9674,Tonne,2021/10,2021/2022,Oct,547694.74,Monthly data
Region 2,427.8773,Tonne,2021/10,2021/2022,Oct,17469.23,Short term contracts
Region 3,478.7941,Tonne,2021/10,2021/2022,Oct,86254.65,Monthly data
Region 3,505.3271,Tonne,2021/10,2021/2022,Oct,13495.86,Short term contracts
EU Average,408.0752,Tonne,2021/09,2020/2021,Sep,801223.96,Monthly data
EU Average,481.2016,Tonne,2021/09,2020/2021,Sep,52387.71,Short term contracts
Region 1,395.8054,Tonne,2021/09,2020/2021,Sep,161832.18,Monthly data
Region 1,424.1568,Tonne,2021/09,2020/2021,Sep,10869.33,Short term contracts
Region 2,494.0783,Tonne,2021/09,2020/2021,Sep,30109.26,Short term contracts
Region 2,399.3274,Tonne,2021/09,2020/2021,Sep,530041.58,Monthly data
Region 3,468.6359,Tonne,2021/09,2020/2021,Sep,109350.2,Monthly data
Region 3,501.5651,Tonne,2021/09,2020/2021,Sep,11409.12,Short term contracts
EU Average,445.5333,Tonne,2021/08,2020/2021,Aug,27536.46,Short term contracts
EU Average,402.416,Tonne,2021/08,2020/2021,Aug,750294.98,Monthly data
Region 1,393.9462,Tonne,2021/08,2020/2021,Aug,155923.9,Monthly data
Region 1,447.5361,Tonne,2021/08,2020/2021,Aug,4183.05,Short term contracts
Region 2,426.1852,Tonne,2021/08,2020/2021,Aug,15819.93,Short term contracts
Region 2,393.3511,Tonne,2021/08,2020/2021,Aug,496304.59,Monthly data
Region 3,485.0513,Tonne,2021/08,2020/2021,Aug,7533.48,Short term contracts
Region 3,461.7591,Tonne,2021/08,2020/2021,Aug,98066.49,Monthly data
EU Average,426.5385,Tonne,2021/07,2020/2021,Jul,27388.32,Short term contracts
EU Average,399.8782,Tonne,2021/07,2020/2021,Jul,757953.51,Monthly data
Region 1,403.2664,Tonne,2021/07,2020/2021,Jul,7248.46,Short term contracts
Region 1,391.3047,Tonne,2021/07,2020/2021,Jul,148152.61,Monthly data
Region 2,417.7319,Tonne,2021/07,2020/2021,Jul,13990.65,Short term contracts
Region 2,391.698,Tonne,2021/07,2020/2021,Jul,517218.14,Monthly data
Region 3,459.2965,Tonne,2021/07,2020/2021,Jul,92582.77,Monthly data
Region 3,474.0074,Tonne,2021/07,2020/2021,Jul,6149.21,Short term contracts
EU Average,432.5782,Tonne,2021/06,2020/2021,Jun,19585.47,Short term contracts
EU Average,396.6743,Tonne,2021/06,2020/2021,Jun,802306.48,Monthly data
Region 1,391.8618,Tonne,2021/06,2020/2021,Jun,159673.32,Monthly data
Region 2,388.5278,Tonne,2021/06,2020/2021,Jun,552149.16,Monthly data
Region 3,454.8777,Tonne,2021/06,2020/2021,Jun,90484,Monthly data
Region 3,455.434,Tonne,2021/06,2020/2021,Jun,7526.69,Short term contracts
EU Average,408.7852,Tonne,2021/05,2020/2021,May,22213.31,Short term contracts
EU Average,396.2295,Tonne,2021/05,2020/2021,May,725056.2,Monthly data
Region 1,402.4229,Tonne,2021/05,2020/2021,May,7409.66,Short term contracts
Region 1,389.7392,Tonne,2021/05,2020/2021,May,148254.7,Monthly data
Region 2,387.3494,Tonne,2021/05,2020/2021,May,483597.34,Monthly data
Region 3,452.6286,Tonne,2021/05,2020/2021,May,93204.16,Monthly data
Region 3,443.7106,Tonne,2021/05,2020/2021,May,7843.59,Short term contracts
EU Average,413.3808,Tonne,2021/04,2020/2021,Apr,16199.25,Short term contracts
EU Average,394.8225,Tonne,2021/04,2020/2021,Apr,709829.28,Monthly data
Region 1,388.9875,Tonne,2021/04,2020/2021,Apr,143747.37,Monthly data
Region 2,387.1517,Tonne,2021/04,2020/2021,Apr,486297.73,Monthly data
Region 3,432.5332,Tonne,2021/04,2020/2021,Apr,7204.33,Short term contracts
Region 3,452.0902,Tonne,2021/04,2020/2021,Apr,79784.18,Monthly data
EU Average,394.2263,Tonne,2021/03,2020/2021,Mar,775174.12,Monthly data
EU Average,405.432,Tonne,2021/03,2020/2021,Mar,27372.79,Short term contracts
Region 1,386.3372,Tonne,2021/03,2020/2021,Mar,160991.66,Monthly data
Region 1,386.6963,Tonne,2021/03,2020/2021,Mar,9374.2,Short term contracts
Region 2,387.5029,Tonne,2021/03,2020/2021,Mar,524662.44,Monthly data
Region 3,447.8191,Tonne,2021/03,2020/2021,Mar,89520.02,Monthly data
Region 3,431.7217,Tonne,2021/03,2020/2021,Mar,9138.42,Short term contracts
EU Average,410.2881,Tonne,2021/02,2020/2021,Feb,23827.38,Short term contracts
EU Average,390.3329,Tonne,2021/02,2020/2021,Feb,676208.86,Monthly data
Region 1,391.7783,Tonne,2021/02,2020/2021,Feb,4879.08,Short term contracts
Region 1,390.3486,Tonne,2021/02,2020/2021,Feb,140576.97,Monthly data
Region 2,380.4079,Tonne,2021/02,2020/2021,Feb,460846.59,Monthly data
Region 2,396.1286,Tonne,2021/02,2020/2021,Feb,10170.16,Short term contracts
Region 3,436.9811,Tonne,2021/02,2020/2021,Feb,8778.14,Short term contracts
Region 3,451.4635,Tonne,2021/02,2020/2021,Feb,74785.3,Monthly data
EU Average,388.0283,Tonne,2021/01,2020/2021,Jan,716473.69,Monthly data
EU Average,400.3252,Tonne,2021/01,2020/2021,Jan,21249.02,Short term contracts
Region 1,385.9716,Tonne,2021/01,2020/2021,Jan,140623.52,Monthly data
Region 1,348.7729,Tonne,2021/01,2020/2021,Jan,5005.76,Short term contracts
Region 2,393.7351,Tonne,2021/01,2020/2021,Jan,10801.12,Short term contracts
Region 2,377.8918,Tonne,2021/01,2020/2021,Jan,482087.77,Monthly data
Region 3,443.2306,Tonne,2021/01,2020/2021,Jan,93762.4,Monthly data
Region 3,460.8233,Tonne,2021/01,2020/2021,Jan,5442.14,Short term contracts
EU Average,379.3174,Tonne,2020/12,2020/2021,Dec,640375.44,Monthly data
Region 1,380.8843,Tonne,2020/12,2020/2021,Dec,122997.6,Monthly data
Region 2,367.4877,Tonne,2020/12,2020/2021,Dec,439535.93,Monthly data
Region 3,443.6383,Tonne,2020/12,2020/2021,Dec,77841.91,Monthly data
EU Average,378.998,Tonne,2020/11,2020/2021,Nov,805213.45,Monthly data
Region 1,383.7308,Tonne,2020/11,2020/2021,Nov,147377.09,Monthly data
Region 2,369.0844,Tonne,2020/11,2020/2021,Nov,585767.54,Monthly data
Region 3,449.8967,Tonne,2020/11,2020/2021,Nov,72068.83,Monthly data
EU Average,381.0587,Tonne,2020/10,2020/2021,Oct,841748.47,Monthly data
Region 1,378.6894,Tonne,2020/10,2020/2021,Oct,156055.33,Monthly data
Region 2,370.952,Tonne,2020/10,2020/2021,Oct,594281.52,Monthly data
Region 3,450.809,Tonne,2020/10,2020/2021,Oct,91411.63,Monthly data
EU Average,376.307,Tonne,2020/09,2019/2020,Sep,857291.65,Monthly data
Region 1,380.8068,Tonne,2020/09,2019/2020,Sep,163510.84,Monthly data
Region 2,362.2185,Tonne,2020/09,2019/2020,Sep,600775.63,Monthly data
Region 3,459.4022,Tonne,2020/09,2019/2020,Sep,93005.18,Monthly data
EU Average,378.3707,Tonne,2020/08,2019/2020,Aug,775006.24,Monthly data
Region 1,382.5187,Tonne,2020/08,2019/2020,Aug,145038.58,Monthly data
Region 2,365.3287,Tonne,2020/08,2019/2020,Aug,553430.05,Monthly data
Region 3,464.8146,Tonne,2020/08,2019/2020,Aug,76537.61,Monthly data
EU Average,378.252,Tonne,2020/07,2019/2020,Jul,845623.41,Monthly data
Region 1,378.297,Tonne,2020/07,2019/2020,Jul,154608.53,Monthly data
Region 2,367.3616,Tonne,2020/07,2019/2020,Jul,612490.12,Monthly data
Region 3,463.1076,Tonne,2020/07,2019/2020,Jul,78524.77,Monthly data
EU Average,378.6263,Tonne,2020/06,2019/2020,Jun,815432.99,Monthly data
Region 1,380.3618,Tonne,2020/06,2019/2020,Jun,150429.46,Monthly data
Region 2,367.2377,Tonne,2020/06,2019/2020,Jun,584773.38,Monthly data
Region 3,458.3799,Tonne,2020/06,2019/2020,Jun,80230.15,Monthly data
EU Average,375.388,Tonne,2020/05,2019/2020,May,714316.45,Monthly data
Region 1,386.2526,Tonne,2020/05,2019/2020,May,134580.05,Monthly data
Region 2,363.4378,Tonne,2020/05,2019/2020,May,518618.8,Monthly data
Region 3,452.8683,Tonne,2020/05,2019/2020,May,61117.6,Monthly data
EU Average,379.38,Tonne,2020/04,2019/2020,Apr,699688.7,Monthly data
Region 1,384.2484,Tonne,2020/04,2019/2020,Apr,127873.97,Monthly data
Region 2,371.1702,Tonne,2020/04,2019/2020,Apr,520647.82,Monthly data
Region 3,450.752,Tonne,2020/04,2019/2020,Apr,51166.91,Monthly data
EU Average,374.5252,Tonne,2020/03,2019/2020,Mar,831140.73,Monthly data
Region 1,383.0827,Tonne,2020/03,2019/2020,Mar,165634.69,Monthly data
Region 2,363.5083,Tonne,2020/03,2019/2020,Mar,592889.82,Monthly data
Region 3,444.956,Tonne,2020/03,2019/2020,Mar,72616.22,Monthly data
EU Average,370.7757,Tonne,2020/02,2019/2020,Feb,773654.44,Monthly data
Region 1,378.533,Tonne,2020/02,2019/2020,Feb,139351.16,Monthly data
Region 2,357.8807,Tonne,2020/02,2019/2020,Feb,557183.72,Monthly data
Region 3,449.9239,Tonne,2020/02,2019/2020,Feb,77119.56,Monthly data
EU Average,360.4775,Tonne,2020/01,2019/2020,Jan,856365.72,Monthly data
Region 1,368.3746,Tonne,2020/01,2019/2020,Jan,157054.81,Monthly data
Region 2,346.8972,Tonne,2020/01,2019/2020,Jan,615273.49,Monthly data
Region 3,445.1462,Tonne,2020/01,2019/2020,Jan,84037.43,Monthly data
EU Average,342.2393,Tonne,2019/12,2019/2020,Dec,719599.89,Monthly data
Region 1,356.6252,Tonne,2019/12,2019/2020,Dec,142188.35,Monthly data
Region 2,326.217,Tonne,2019/12,2019/2020,Dec,490373.5,Monthly data
Region 3,409.0079,Tonne,2019/12,2019/2020,Dec,87038.04,Monthly data
EU Average,333.8682,Tonne,2019/11,2019/2020,Nov,903266.81,Monthly data
Region 1,344.8996,Tonne,2019/11,2019/2020,Nov,174239.95,Monthly data
Region 2,321.1382,Tonne,2019/11,2019/2020,Nov,639754.25,Monthly data
Region 3,403.5648,Tonne,2019/11,2019/2020,Nov,89272.61,Monthly data
EU Average,332.3175,Tonne,2019/10,2019/2020,Oct,914911.32,Monthly data
Region 1,337.6828,Tonne,2019/10,2019/2020,Oct,166967.83,Monthly data
Region 2,320.4615,Tonne,2019/10,2019/2020,Oct,646757.16,Monthly data
Region 3,399.2451,Tonne,2019/10,2019/2020,Oct,101186.33,Monthly data
EU Average,327.7814,Tonne,2019/09,2018/2019,Sep,859849.38,Monthly data
Region 1,332.9894,Tonne,2019/09,2018/2019,Sep,177011.89,Monthly data
Region 2,316.4197,Tonne,2019/09,2018/2019,Sep,566682.99,Monthly data
Region 3,375.2749,Tonne,2019/09,2018/2019,Sep,116154.5,Monthly data
EU Average,320.1642,Tonne,2019/08,2018/2019,Aug,846402.85,Monthly data
Region 1,320.9331,Tonne,2019/08,2018/2019,Aug,166422.01,Monthly data
Region 2,309.848,Tonne,2019/08,2018/2019,Aug,582622.75,Monthly data
Region 3,380.5858,Tonne,2019/08,2018/2019,Aug,97358.09,Monthly data
EU Average,319.924,Tonne,2019/07,2018/2019,Jul,914162,Monthly data
Region 1,323.9227,Tonne,2019/07,2018/2019,Jul,167138.56,Monthly data
Region 2,308.0578,Tonne,2019/07,2018/2019,Jul,641981.11,Monthly data
Region 3,386.0837,Tonne,2019/07,2018/2019,Jul,105042.33,Monthly data
EU Average,321.047,Tonne,2019/06,2018/2019,Jun,786607.07,Monthly data
Region 1,325.1981,Tonne,2019/06,2018/2019,Jun,157506.93,Monthly data
Region 2,311.1216,Tonne,2019/06,2018/2019,Jun,551748.19,Monthly data
Region 3,383.3922,Tonne,2019/06,2018/2019,Jun,77351.95,Monthly data
EU Average,319.6536,Tonne,2019/05,2018/2019,May,930565.94,Monthly data
Region 1,325.3562,Tonne,2019/05,2018/2019,May,208729.52,Monthly data
Region 2,309.4229,Tonne,2019/05,2018/2019,May,601639.28,Monthly data
Region 3,360.96,Tonne,2019/05,2018/2019,May,120197.14,Monthly data
EU Average,319.1103,Tonne,2019/04,2018/2019,Apr,852935.18,Monthly data
Region 1,324.1645,Tonne,2019/04,2018/2019,Apr,185907.12,Monthly data
Region 2,311.3729,Tonne,2019/04,2018/2019,Apr,588747.39,Monthly data
Region 3,365.2998,Tonne,2019/04,2018/2019,Apr,78280.67,Monthly data
EU Average,313.7814,Tonne,2019/03,2018/2019,Mar,845990.84,Monthly data
Region 1,321.2038,Tonne,2019/03,2018/2019,Mar,166086.05,Monthly data
Region 2,304.3484,Tonne,2019/03,2018/2019,Mar,593874.81,Monthly data
Region 3,364.5688,Tonne,2019/03,2018/2019,Mar,86029.98,Monthly data
EU Average,313.9721,Tonne,2019/02,2018/2019,Feb,794674.32,Monthly data
Region 1,321.6368,Tonne,2019/02,2018/2019,Feb,149267.19,Monthly data
Region 2,303.013,Tonne,2019/02,2018/2019,Feb,549948.05,Monthly data
Region 3,365.123,Tonne,2019/02,2018/2019,Feb,95459.08,Monthly data
EU Average,312.2023,Tonne,2019/01,2018/2019,Jan,922856.49,Monthly data
Region 1,315.1742,Tonne,2019/01,2018/2019,Jan,181284.63,Monthly data
Region 2,301.0169,Tonne,2019/01,2018/2019,Jan,623915.42,Monthly data
Region 3,366.9376,Tonne,2019/01,2018/2019,Jan,117656.43,Monthly data
EU Average,314.0362,Tonne,2018/12,2018/2019,Dec,719828.52,Monthly data
Region 1,324.6497,Tonne,2018/12,2018/2019,Dec,137481.95,Monthly data
Region 2,300.3687,Tonne,2018/12,2018/2019,Dec,489208.05,Monthly data
Region 3,370.1579,Tonne,2018/12,2018/2019,Dec,93138.52,Monthly data
EU Average,319.6845,Tonne,2018/11,2018/2019,Nov,962272.46,Monthly data
Region 1,329.4706,Tonne,2018/11,2018/2019,Nov,207887.93,Monthly data
Region 2,308.4124,Tonne,2018/11,2018/2019,Nov,644974.77,Monthly data
Region 3,367.5399,Tonne,2018/11,2018/2019,Nov,109409.76,Monthly data
EU Average,321.0698,Tonne,2018/10,2018/2019,Oct,968119.49,Monthly data
Region 1,325.3192,Tonne,2018/10,2018/2019,Oct,198572.5,Monthly data
Region 2,309.4186,Tonne,2018/10,2018/2019,Oct,654908.13,Monthly data
Region 3,380.2697,Tonne,2018/10,2018/2019,Oct,114638.87,Monthly data
EU Average,346.9954,Tonne,2018/09,2017/2018,Sep,878371.53,Monthly data
Region 1,337.7406,Tonne,2018/09,2017/2018,Sep,188352.37,Monthly data
Region 2,339.5323,Tonne,2018/09,2017/2018,Sep,571927.05,Monthly data
Region 3,397.9005,Tonne,2018/09,2017/2018,Sep,118092.11,Monthly data
EU Average,347.2946,Tonne,2018/08,2017/2018,Aug,896937.39,Monthly data
Region 1,338.0473,Tonne,2018/08,2017/2018,Aug,179729.94,Monthly data
Region 2,345.2366,Tonne,2018/08,2017/2018,Aug,629613.94,Monthly data
Region 3,381.0617,Tonne,2018/08,2017/2018,Aug,87593.52,Monthly data
EU Average,346.499,Tonne,2018/07,2017/2018,Jul,918109.38,Monthly data
Region 1,350.3548,Tonne,2018/07,2017/2018,Jul,155983.19,Monthly data
Region 2,340.912,Tonne,2018/07,2017/2018,Jul,640861.06,Monthly data
Region 3,371.0657,Tonne,2018/07,2017/2018,Jul,121265.14,Monthly data
EU Average,361.4086,Tonne,2018/06,2017/2018,Jun,905641.05,Monthly data
Region 1,362.7048,Tonne,2018/06,2017/2018,Jun,159737.9,Monthly data
Region 2,358.5173,Tonne,2018/06,2017/2018,Jun,630840.43,Monthly data
Region 3,375.4611,Tonne,2018/06,2017/2018,Jun,115062.73,Monthly data
EU Average,368.0446,Tonne,2018/05,2017/2018,May,879607.34,Monthly data
Region 1,369.0806,Tonne,2018/05,2017/2018,May,157694.4,Monthly data
Region 2,364.6513,Tonne,2018/05,2017/2018,May,597054.43,Monthly data
Region 3,382.9623,Tonne,2018/05,2017/2018,May,124858.52,Monthly data
EU Average,364.9471,Tonne,2018/04,2017/2018,Apr,820387.05,Monthly data
Region 1,365.5308,Tonne,2018/04,2017/2018,Apr,152816.16,Monthly data
Region 2,360.9378,Tonne,2018/04,2017/2018,Apr,565228.87,Monthly data
Region 3,386.2186,Tonne,2018/04,2017/2018,Apr,102342.02,Monthly data
EU Average,375.5504,Tonne,2018/03,2017/2018,Mar,828540.07,Monthly data
Region 1,370.8715,Tonne,2018/03,2017/2018,Mar,157147.83,Monthly data
Region 2,373.5037,Tonne,2018/03,2017/2018,Mar,588742.43,Monthly data
Region 3,399.0258,Tonne,2018/03,2017/2018,Mar,82649.81,Monthly data
EU Average,371.7169,Tonne,2018/02,2017/2018,Feb,760815.99,Monthly data
Region 1,370.7695,Tonne,2018/02,2017/2018,Feb,144480.54,Monthly data
Region 2,366.8181,Tonne,2018/02,2017/2018,Feb,539059.16,Monthly data
Region 3,407.6609,Tonne,2018/02,2017/2018,Feb,77276.29,Monthly data
EU Average,370.9016,Tonne,2018/01,2017/2018,Jan,915814.19,Monthly data
Region 1,375.7495,Tonne,2018/01,2017/2018,Jan,192671.05,Monthly data
Region 2,364.8241,Tonne,2018/01,2017/2018,Jan,640551.09,Monthly data
Region 3,406.727,Tonne,2018/01,2017/2018,Jan,82592.06,Monthly data
EU Average,541.1946,Tonne,2025/02,2024/2025,Feb,734733.7,Monthly data
